Product	Date	Region	Sales
Aspen	4/1/2016	West	471
Aspen	4/1/2016	West	1007
Quad	4/1/2016	West	697
Carlota	4/1/2016	West	286
Aspen	4/1/2016	West	450
Yanaki	4/2/2016	West	551
Aspen	4/2/2016	South	804
Carlota	4/2/2016	East	889
Sunset	4/3/2016	South	789
Quad	4/3/2016	South	1140
Sunset	4/3/2016	South	1096
Quad	4/3/2016	South	1064
Aspen	4/3/2016	South	652
Sunset	4/3/2016	East	391
Quad	4/3/2016	East	447
FlatTop	4/4/2016	East	368
Quad	4/4/2016	West	385
FlatTop	4/4/2016	West	379
Aspen	4/4/2016	East	733
Carlota	4/4/2016	South	597
Aspen	4/5/2016	South	1205
Aspen	4/5/2016	South	858
Sunset	4/5/2016	West	399
Sunset	4/5/2016	East	1108
Sunset	4/5/2016	South	560
Quad	4/5/2016	South	1037
Carlota	4/5/2016	East	935
Carlota	4/6/2016	West	650
Yanaki	4/6/2016	East	1172
Aspen	4/6/2016	South	230
Aspen	4/6/2016	West	771
Aspen	4/7/2016	East	593
Carlota	4/7/2016	West	601
Yanaki	4/7/2016	West	1226
FlatTop	4/7/2016	West	834
Aspen	4/8/2016	West	262
Quad	4/8/2016	East	432
Quad	4/8/2016	West	260
Aspen	4/8/2016	South	1167
Quad	4/8/2016	West	335
Yanaki	4/8/2016	East	490
Aspen	4/8/2016	South	446
FlatTop	4/9/2016	West	895
FlatTop	4/9/2016	East	552
FlatTop	4/9/2016	South	1139
FlatTop	4/9/2016	East	1189
Yanaki	4/9/2016	West	702
Carlota	4/9/2016	East	1096
Yanaki	4/9/2016	West	278
FlatTop	4/10/2016	South	977
Aspen	4/10/2016	South	591
Carlota	4/10/2016	West	595
Yanaki	4/10/2016	South	891
Sunset	4/10/2016	South	460
FlatTop	4/10/2016	South	550
Quad	4/11/2016	South	264
Aspen	4/11/2016	East	455
Quad	4/11/2016	West	710
Quad	4/11/2016	South	861
FlatTop	4/11/2016	South	1182
FlatTop	4/11/2016	South	965
Aspen	4/11/2016	South	653
FlatTop	4/11/2016	East	1105
Carlota	4/11/2016	East	1026
Aspen	4/11/2016	West	1098
Sunset	4/11/2016	West	1182
Aspen	4/11/2016	South	956
Aspen	4/11/2016	East	315
Quad	4/11/2016	South	1113
Quad	4/12/2016	East	808
Quad	4/12/2016	West	346
Sunset	4/12/2016	South	958
Carlota	4/12/2016	South	453
FlatTop	4/13/2016	East	1136
Yanaki	4/13/2016	South	564
Quad	4/13/2016	West	1010
Sunset	4/13/2016	South	230
Aspen	4/13/2016	West	505
FlatTop	4/14/2016	East	755
Carlota	4/14/2016	South	418
FlatTop	4/14/2016	East	894
FlatTop	4/14/2016	East	424
Yanaki	4/14/2016	East	828
FlatTop	4/14/2016	West	484
Sunset	4/14/2016	East	575
FlatTop	4/15/2016	East	644
Quad	4/15/2016	East	967
Carlota	4/15/2016	East	697
Carlota	4/15/2016	West	960
Sunset	4/16/2016	West	810
Aspen	4/16/2016	West	589
Quad	4/16/2016	South	263
Quad	4/16/2016	West	958
Sunset	4/16/2016	South	353
Aspen	4/16/2016	East	646
Quad	4/16/2016	South	839
Sunset	4/16/2016	South	961
Sunset	4/17/2016	West	664
Carlota	4/17/2016	West	1015
Carlota	4/17/2016	East	804
Yanaki	4/17/2016	South	1205
Yanaki	4/17/2016	West	1188
Carlota	4/17/2016	East	645
Aspen	4/17/2016	East	992
Quad	4/17/2016	East	1091
Sunset	4/17/2016	South	1039
FlatTop	4/18/2016	West	1218
Aspen	4/18/2016	South	1126
Sunset	4/18/2016	East	250
Quad	4/18/2016	East	909
Quad	4/18/2016	South	636
Quad	4/19/2016	South	872
Aspen	4/19/2016	East	647
FlatTop	4/19/2016	South	1109
Quad	4/19/2016	South	496
Yanaki	4/19/2016	East	1005
Yanaki	4/19/2016	West	854
Sunset	4/19/2016	East	1187
Aspen	4/19/2016	South	929
FlatTop	4/19/2016	South	630
FlatTop	4/19/2016	East	278
Sunset	4/19/2016	East	1108
Quad	4/20/2016	West	1021
Aspen	4/20/2016	East	918
Sunset	4/20/2016	South	1217
Yanaki	4/20/2016	East	621
Yanaki	4/21/2016	East	817
Quad	4/21/2016	West	1144
Yanaki	4/21/2016	West	1196
Sunset	4/21/2016	West	454
Quad	4/21/2016	East	297
Quad	4/21/2016	South	604
FlatTop	4/21/2016	South	275
Yanaki	4/21/2016	West	614
Quad	4/21/2016	South	236
Sunset	4/22/2016	South	1165
Aspen	4/22/2016	West	686
Yanaki	4/22/2016	East	1231
Aspen	4/22/2016	East	297
Yanaki	4/22/2016	South	601
