Product	Date	Region	Sales
Yanaki	5/1/2016	South	329
Sunset	5/1/2016	East	634
Carlota	5/1/2016	East	1192
Carlota	5/1/2016	South	748
Quad	5/2/2016	West	640
Yanaki	5/2/2016	South	790
Aspen	5/2/2016	West	709
Quad	5/2/2016	West	1165
Aspen	5/2/2016	South	475
Aspen	5/2/2016	West	948
Yanaki	5/2/2016	West	1123
FlatTop	5/2/2016	East	258
Yanaki	5/2/2016	South	397
Yanaki	5/3/2016	East	746
Carlota	5/3/2016	East	857
FlatTop	5/3/2016	South	278
Quad	5/3/2016	South	606
Yanaki	5/3/2016	South	1207
Aspen	5/3/2016	West	980
Sunset	5/3/2016	West	651
Sunset	5/3/2016	West	672
FlatTop	5/3/2016	South	1129
FlatTop	5/3/2016	East	901
Aspen	5/3/2016	West	406
FlatTop	5/4/2016	South	1094
Aspen	5/4/2016	South	946
FlatTop	5/4/2016	West	277
Carlota	5/4/2016	East	1219
Aspen	5/4/2016	South	691
Quad	5/4/2016	West	529
Sunset	5/5/2016	South	751
Quad	5/5/2016	South	1197
Carlota	5/5/2016	West	485
Quad	5/6/2016	South	785
FlatTop	5/6/2016	West	350
Carlota	5/6/2016	South	584
Aspen	5/6/2016	West	667
Carlota	5/6/2016	East	812
Aspen	5/6/2016	East	1200
Aspen	5/6/2016	East	465
Yanaki	5/6/2016	East	319
Aspen	5/7/2016	West	817
Aspen	5/7/2016	East	1115
FlatTop	5/7/2016	South	996
Quad	5/7/2016	South	1140
Sunset	5/7/2016	West	441
Yanaki	5/7/2016	East	540
Yanaki	5/7/2016	South	472
FlatTop	5/8/2016	West	955
Quad	5/8/2016	East	779
Aspen	5/8/2016	South	851
Sunset	5/8/2016	West	1114
Sunset	5/9/2016	West	1048
Carlota	5/9/2016	South	963
Aspen	5/9/2016	East	490
FlatTop	5/9/2016	South	619
Sunset	5/9/2016	South	670
Quad	5/9/2016	West	913
Quad	5/10/2016	South	1118
Carlota	5/10/2016	West	762
FlatTop	5/10/2016	East	1005
Sunset	5/11/2016	West	945
Quad	5/11/2016	West	764
Carlota	5/11/2016	East	737
Sunset	5/11/2016	East	843
Sunset	5/11/2016	West	267
FlatTop	5/11/2016	East	903
FlatTop	5/12/2016	West	430
FlatTop	5/12/2016	South	852
Aspen	5/12/2016	West	650
Yanaki	5/12/2016	East	595
Sunset	5/12/2016	East	298
Quad	5/12/2016	West	1151
Sunset	5/12/2016	South	1003
Sunset	5/12/2016	West	490
FlatTop	5/13/2016	South	241
Quad	5/13/2016	West	437
Sunset	5/13/2016	South	939
Aspen	5/13/2016	East	563
Carlota	5/13/2016	West	230
Quad	5/13/2016	West	305
FlatTop	5/13/2016	East	864
Quad	5/14/2016	East	926
Quad	5/14/2016	East	711
Sunset	5/14/2016	South	319
FlatTop	5/14/2016	East	248
Carlota	5/14/2016	South	741
Quad	5/14/2016	West	531
Aspen	5/15/2016	East	868
Aspen	5/15/2016	South	344
Quad	5/15/2016	West	458
Carlota	5/15/2016	East	828
Carlota	5/15/2016	East	305
Yanaki	5/15/2016	South	1099
Yanaki	5/16/2016	South	1116
Aspen	5/16/2016	South	237
Carlota	5/16/2016	South	568
Aspen	5/16/2016	South	990
Yanaki	5/16/2016	West	420
Carlota	5/16/2016	East	1032
Aspen	5/16/2016	West	1168
Quad	5/17/2016	East	1013
Sunset	5/17/2016	South	956
Quad	5/18/2016	East	794
Sunset	5/18/2016	West	1170
FlatTop	5/18/2016	East	919
Aspen	5/18/2016	South	1014
Aspen	5/18/2016	South	457
FlatTop	5/18/2016	South	236
Aspen	5/18/2016	West	964
Carlota	5/18/2016	West	736
FlatTop	5/19/2016	West	681
Carlota	5/19/2016	West	426
Yanaki	5/19/2016	South	792
Quad	5/19/2016	South	553
Quad	5/20/2016	West	864
Yanaki	5/20/2016	South	772
Quad	5/20/2016	West	934
Aspen	5/21/2016	East	701
Quad	5/21/2016	South	250
Carlota	5/21/2016	South	620
Aspen	5/21/2016	South	1147
Carlota	5/21/2016	South	1065
Aspen	5/21/2016	West	1072
Yanaki	5/21/2016	East	1088
Quad	5/22/2016	East	942
Quad	5/22/2016	South	343
Quad	5/22/2016	South	1087
Yanaki	5/22/2016	South	576
Quad	5/22/2016	East	1161
Carlota	5/22/2016	East	1179
Quad	5/23/2016	South	765
Sunset	5/23/2016	West	561
Sunset	5/23/2016	West	1178
FlatTop	5/24/2016	South	497
Sunset	5/24/2016	South	1051
Quad	5/25/2016	East	242
Yanaki	5/25/2016	West	1012
FlatTop	5/25/2016	West	315
Quad	5/26/2016	East	693
Quad	5/26/2016	East	648
Carlota	5/26/2016	South	266
Aspen	5/26/2016	West	578
Sunset	5/26/2016	East	909
Yanaki	5/27/2016	West	1045
FlatTop	5/27/2016	West	605
Yanaki	5/27/2016	South	720
Carlota	5/27/2016	East	246
Quad	5/27/2016	West	574
Aspen	5/27/2016	East	329
Aspen	5/28/2016	East	927
Aspen	5/28/2016	West	974
Yanaki	5/28/2016	South	302
Aspen	5/28/2016	West	683
Aspen	5/29/2016	South	395
Aspen	5/29/2016	East	300
Quad	5/29/2016	South	638
Yanaki	5/29/2016	East	256
Yanaki	5/30/2016	South	563
Yanaki	5/30/2016	West	777
Quad	5/30/2016	East	566
Quad	5/30/2016	West	418
Yanaki	5/30/2016	East	286
Yanaki	5/30/2016	East	921
Carlota	5/31/2016	South	457
Quad	5/31/2016	West	809
Aspen	5/31/2016	East	1056
Sunset	5/31/2016	East	549
Sunset	5/31/2016	South	618
Aspen	5/31/2016	East	777
Quad	5/31/2016	South	635
Quad	5/31/2016	West	232
