Quality Rating	Education
Average	College Grad
Outstanding	HS Grad
Average	Some College
Outstanding	College Grad
Exceptional	College Grad
Outstanding	HS Grad
Exceptional	College Grad
Outstanding	Some HS
Outstanding	Some College
Average	Some College
Exceptional	HS Grad
Average	HS Grad
Average	Some HS
Average	Some HS
Outstanding	Some College
Exceptional	College Grad
Average	Some HS
Exceptional	HS Grad
Average	Some HS
Outstanding	College Grad
Exceptional	Some College
Outstanding	College Grad
Exceptional	Some HS
Average	Some HS
Average	Some College
Outstanding	College Grad
Exceptional	Some HS
Average	Some HS
Exceptional	Some HS
Average	HS Grad
Average	Some College
Outstanding	Some College
Outstanding	Some HS
Outstanding	College Grad
Outstanding	Some HS
Outstanding	HS Grad
Outstanding	HS Grad
Outstanding	Some College
Average	College Grad
Outstanding	Some College
Exceptional	College Grad
Outstanding	Some HS
Outstanding	HS Grad
Outstanding	HS Grad
Outstanding	Some HS
Outstanding	Some College
Outstanding	College Grad
Average	Some HS
Average	Some College
Exceptional	HS Grad
Exceptional	Some College
Exceptional	Some HS
Average	HS Grad
Average	College Grad
Average	College Grad
Outstanding	College Grad
Outstanding	Some College
Exceptional	College Grad
Average	HS Grad
Outstanding	College Grad
Average	Some HS
Average	College Grad
Average	College Grad
Outstanding	Some HS
Outstanding	Some College
Average	Some College
Exceptional	HS Grad
Average	HS Grad
Average	Some HS
Average	Some HS
Outstanding	Some College
Exceptional	College Grad
Average	Some HS
Exceptional	HS Grad
Average	Some HS
Outstanding	College Grad
Exceptional	Some College
Outstanding	College Grad
Exceptional	Some HS
Average	Some HS
Outstanding	College Grad
Average	HS Grad
Outstanding	College Grad
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	Some HS
Outstanding	HS Grad
Exceptional	Some HS
Average	College Grad
Average	Some College
Outstanding	Some HS
Outstanding	HS Grad
Exceptional	Some HS
Outstanding	College Grad
Outstanding	Some College
Outstanding	College Grad
Exceptional	College Grad
Outstanding	HS Grad
Outstanding	Some HS
Outstanding	College Grad
Outstanding	College Grad
Outstanding	College Grad
Outstanding	HS Grad
Average	College Grad
Outstanding	Some HS
Exceptional	Some College
Outstanding	College Grad
Exceptional	College Grad
Outstanding	Some College
Outstanding	Some College
Average	HS Grad
Average	College Grad
Exceptional	College Grad
Outstanding	College Grad
Exceptional	Some College
Average	Some College
Outstanding	College Grad
Exceptional	Some College
Exceptional	Some College
Exceptional	Some College
Outstanding	HS Grad
Outstanding	College Grad
Outstanding	Some HS
Average	College Grad
Exceptional	HS Grad
Exceptional	College Grad
Exceptional	Some College
Outstanding	College Grad
Outstanding	College Grad
Average	College Grad
Average	Some College
Outstanding	College Grad
Outstanding	HS Grad
Average	Some HS
Outstanding	HS Grad
Outstanding	HS Grad
Outstanding	Some College
Exceptional	College Grad
Outstanding	Some HS
Average	Some HS
Exceptional	Some HS
Outstanding	HS Grad
Average	Some HS
Average	College Grad
Average	Some HS
Outstanding	College Grad
Exceptional	HS Grad
Average	Some HS
Outstanding	Some HS
Outstanding	College Grad
Average	Some HS
Exceptional	Some HS
Average	College Grad
Outstanding	HS Grad
Outstanding	College Grad
Outstanding	HS Grad
Average	College Grad
Outstanding	College Grad
Average	College Grad
Average	Some College
Outstanding	College Grad
Outstanding	Some College
Exceptional	HS Grad
Exceptional	Some HS
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	Some College
Average	HS Grad
Outstanding	Some HS
Outstanding	Some HS
Average	Some HS
Exceptional	College Grad
Exceptional	Some HS
Exceptional	HS Grad
Average	College Grad
Exceptional	Some College
Exceptional	College Grad
Outstanding	Some HS
Outstanding	College Grad
Exceptional	HS Grad
Exceptional	College Grad
Outstanding	College Grad
Average	College Grad
Exceptional	College Grad
Exceptional	HS Grad
Average	College Grad
Exceptional	Some HS
Outstanding	College Grad
Outstanding	HS Grad
Exceptional	College Grad
Outstanding	College Grad
Average	Some College
Average	HS Grad
Average	College Grad
Outstanding	College Grad
Outstanding	College Grad
Average	Some HS
Outstanding	College Grad
Outstanding	Some HS
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	Some HS
Average	HS Grad
Outstanding	Some HS
Outstanding	Some College
Exceptional	Some HS
Average	College Grad
Average	College Grad
Outstanding	College Grad
Average	College Grad
Outstanding	Some College
Outstanding	College Grad
Outstanding	HS Grad
Exceptional	Some HS
Outstanding	Some HS
Outstanding	Some HS
Outstanding	Some College
Average	College Grad
Outstanding	Some College
Outstanding	Some College
Outstanding	Some HS
Outstanding	College Grad
Average	Some HS
Outstanding	Some College
Exceptional	HS Grad
Exceptional	College Grad
Outstanding	College Grad
Exceptional	Some College
Outstanding	HS Grad
Average	College Grad
Outstanding	College Grad
Outstanding	Some College
Average	HS Grad
Outstanding	HS Grad
Outstanding	HS Grad
Average	College Grad
Outstanding	Some HS
Exceptional	HS Grad
Exceptional	College Grad
Outstanding	College Grad
Average	College Grad
Average	College Grad
Outstanding	Some College
Average	HS Grad
Exceptional	Some College
Average	College Grad
Average	HS Grad
Outstanding	College Grad
Average	Some HS
Outstanding	Some HS
Outstanding	College Grad
Outstanding	Some College
Average	Some HS
Exceptional	College Grad
Average	HS Grad
Exceptional	Some College
Exceptional	College Grad
Exceptional	Some College
Outstanding	Some College
Exceptional	Some HS
Outstanding	Some College
Exceptional	HS Grad
Outstanding	College Grad
Average	Some HS
Outstanding	Some HS
Exceptional	HS Grad
Exceptional	Some College
Average	HS Grad
Outstanding	HS Grad
Outstanding	HS Grad
Average	Some HS
Average	College Grad
Exceptional	College Grad
Outstanding	College Grad
Outstanding	Some College
Exceptional	HS Grad
Exceptional	College Grad
Exceptional	Some College
Exceptional	Some HS
Outstanding	Some HS
Outstanding	College Grad
Exceptional	Some College
Outstanding	Some HS
Outstanding	HS Grad
Exceptional	HS Grad
Outstanding	College Grad
Outstanding	College Grad
Average	HS Grad
Average	College Grad
Exceptional	College Grad
Exceptional	College Grad
Exceptional	Some HS
Average	College Grad
Average	HS Grad
Outstanding	College Grad
Outstanding	College Grad
Exceptional	College Grad
Outstanding	Some HS
Outstanding	College Grad
Outstanding	HS Grad
Average	Some College
Exceptional	HS Grad
Average	Some College
Exceptional	HS Grad
Exceptional	College Grad
Average	College Grad
Exceptional	HS Grad
Outstanding	Some College
Exceptional	Some College
Exceptional	College Grad
Outstanding	Some College
Average	College Grad
Outstanding	Some College
Outstanding	College Grad
Exceptional	HS Grad
Average	College Grad
Average	Some HS
Average	HS Grad
Outstanding	College Grad
Outstanding	Some College
Exceptional	Some College
Average	Some HS
Outstanding	HS Grad
Outstanding	Some College
Average	Some HS
Average	HS Grad
Outstanding	College Grad
Outstanding	College Grad
Outstanding	HS Grad
Average	Some College
Outstanding	Some HS
Exceptional	College Grad
Average	Some HS
Outstanding	Some College
Outstanding	HS Grad
Average	Some HS
Outstanding	HS Grad
Outstanding	HS Grad
Outstanding	Some College
Exceptional	College Grad
Outstanding	Some HS
Average	Some HS
Exceptional	Some HS
Outstanding	HS Grad
Average	Some HS
Average	College Grad
Average	Some HS
Outstanding	College Grad
Exceptional	HS Grad
Average	Some HS
Outstanding	Some HS
Outstanding	College Grad
Average	Some HS
Exceptional	Some HS
Average	College Grad
Outstanding	HS Grad
Outstanding	College Grad
Outstanding	HS Grad
Average	College Grad
Outstanding	College Grad
Average	College Grad
Average	Some College
Outstanding	College Grad
Outstanding	Some College
Exceptional	HS Grad
Exceptional	Some HS
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	Some College
Average	HS Grad
Outstanding	Some HS
Outstanding	Some HS
Average	Some HS
Exceptional	College Grad
Exceptional	Some HS
Exceptional	HS Grad
Average	College Grad
Exceptional	Some College
Exceptional	College Grad
Exceptional	College Grad
Exceptional	Some College
Average	Some College
Outstanding	College Grad
Outstanding	College Grad
Average	College Grad
Exceptional	Some HS
Average	Some HS
Outstanding	College Grad
Exceptional	College Grad
Outstanding	College Grad
Outstanding	Some HS
Outstanding	College Grad
Outstanding	College Grad
Exceptional	HS Grad
Exceptional	College Grad
Average	Some HS
Average	HS Grad
Outstanding	Some HS
Exceptional	Some HS
Exceptional	HS Grad
Outstanding	Some HS
Average	College Grad
Average	College Grad
Outstanding	College Grad
Outstanding	Some College
Outstanding	Some HS
Exceptional	College Grad
Average	College Grad
Average	College Grad
Average	College Grad
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	College Grad
Exceptional	Some HS
Outstanding	College Grad
Average	College Grad
Outstanding	Some College
Outstanding	College Grad
Outstanding	College Grad
Outstanding	College Grad
Exceptional	Some College
Exceptional	HS Grad
Average	College Grad
Exceptional	College Grad
Outstanding	Some College
Exceptional	Some College
Average	Some College
Exceptional	College Grad
Exceptional	Some College
Outstanding	College Grad
Outstanding	Some HS
Outstanding	Some HS
Outstanding	HS Grad
Exceptional	HS Grad
Average	HS Grad
Exceptional	College Grad
Exceptional	College Grad
Exceptional	College Grad
Outstanding	College Grad
Average	College Grad
Exceptional	College Grad
Average	College Grad
Average	College Grad
Average	College Grad
Average	College Grad
Average	HS Grad
Outstanding	College Grad
Outstanding	Some College
Average	College Grad
Average	HS Grad
Exceptional	College Grad
Outstanding	Some HS
Exceptional	Some College
Outstanding	Some HS
Outstanding	Some College
Outstanding	College Grad
Average	College Grad
Average	College Grad
Outstanding	HS Grad
Outstanding	Some HS
Outstanding	HS Grad
Exceptional	Some College
Exceptional	College Grad
Exceptional	College Grad
Exceptional	College Grad
Outstanding	College Grad
Average	Some HS
Average	HS Grad
Outstanding	Some HS
Exceptional	Some College
Exceptional	College Grad
Outstanding	Some College
Exceptional	HS Grad
Average	College Grad
Average	Some HS
Average	College Grad
Exceptional	College Grad
Exceptional	Some College
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	Some HS
Outstanding	Some College
Outstanding	College Grad
Outstanding	College Grad
Average	Some College
Outstanding	College Grad
Outstanding	HS Grad
Outstanding	Some College
Outstanding	College Grad
Outstanding	College Grad
Exceptional	Some College
Average	College Grad
Average	College Grad
Average	Some HS
Exceptional	Some College
Average	HS Grad
Outstanding	HS Grad
Exceptional	College Grad
Outstanding	Some College
Exceptional	Some College
